#name	zcmb	mb	dmb
570062	0.12365	19.5741	0.1083
580235	0.33159	21.7689	0.1401
580275	0.38246	22.18595	0.1824
580300	0.24074	21.13115	0.11795
590005	0.17144	20.2873	0.17315
200132	0.2088	20.859	0.16115
350180	0.2896	21.715	0.1649
10	0.24599	21.1466	0.1219
14	0.13659	19.76145	0.12305
38	0.15062	19.8557	0.11605
137	0.1187	19.26765	0.1244
174	0.24494	21.05305	0.1237
196	0.3507	21.9623	0.10725
202	0.61992	23.4834	0.1156
220	0.21986	20.83145	0.10825
10010	0.09929	19.1829	0.10965
20090	0.40996	22.4668	0.20545
30006	0.50276	22.81425	0.2082
40150	0.38171	22.31495	0.143
40201	0.27989	21.2969	0.11365
40780	0.23071	20.74845	0.15255
50003	0.42693	22.5594	0.1627
50201	0.55014	23.1391	0.14355
50291	0.32531	21.96765	0.14105
50296	0.35092	22.00245	0.1283
50303	0.32832	21.97245	0.18155
50580	0.45059	22.4503	0.1316
70242	0.06441	18.09975	0.1085
80064	0.06559	17.91255	0.12675
80646	0.31811	21.8116	0.12465
90037	0.14539	20.2551	0.1724
90275	0.13947	19.7799	0.1129
100101	0.42967	22.75515	0.1527
100206	0.21641	20.59575	0.11555
100358	0.36616	21.88675	0.1841
110425	0.38083	22.2063	0.1382
110430	0.42086	22.47585	0.16245
110460	0.19958	20.61175	0.15295
110484	0.5109	22.8206	0.17305
110542	0.42696	22.6189	0.15295
110716	0.31579	21.9342	0.1522
110721	0.57824	23.2802	0.1624
120044	0.48176	23.0166	0.15415
120086	0.39267	22.18855	0.1588
120143	0.17359	20.08825	0.1083
120369	0.33059	21.9984	0.1153
120444	0.29948	21.70345	0.1614
120586	0.22943	20.95825	0.1411
130755	0.29291	21.54425	0.1708
140152	0.20861	20.59295	0.11275
150254	0.27509	21.2869	0.11615
150457	0.30337	21.66825	0.11865
160070	0.35902	22.19585	0.1342
160126	0.3602	21.8702	0.1604
160198	0.34902	21.98165	0.1223
160214	0.63056	23.3169	0.11795
170078	0.32092	22.0192	0.15495
180313	0.51002	22.84675	0.1182
190209	0.36646	22.0067	0.1243
190340	0.13823	19.7944	0.1038
300179	0.1792	20.54675	0.14915
310039	0.17157	20.22	0.11585
310051	0.27047	21.2356	0.1242
310090	0.34688	22.23255	0.2533
310146	0.47942	22.6131	0.1463
310188	0.31894	21.9169	0.137
310260	0.51879	22.9578	0.1518
320099	0.3799	22.18215	0.1306
320469	0.37089	22.13805	0.26375
330023	0.18152	20.474	0.12575
330083	0.22374	20.75105	0.12225
340229	0.14135	19.8422	0.13225
350027	0.30567	21.68485	0.12015
350050	0.40471	22.12805	0.15365
350080	0.28578	21.43725	0.1358
350192	0.30156	21.5859	0.13495
350235	0.26388	21.2319	0.12955
350374	0.50091	22.9717	0.1963
350630	0.30525	21.64295	0.1129
360139	0.38598	22.28245	0.126
360145	0.1986	20.6442	0.1223
370066	0.09121	18.75805	0.1103
370329	0.47796	22.9261	0.1649
370344	0.33159	21.831	0.11675
370367	0.47175	22.70965	0.15
370394	0.33081	21.7726	0.15595
370498	0.26088	21.3572	0.14225
370566	0.07141	18.15745	0.1192
370595	0.18141	20.426	0.1593
380318	0.33829	21.91315	0.151
390259	0.12211	19.37365	0.11495
390449	0.25012	21.1135	0.14315
390627	0.16046	20.16235	0.167
420196	0.29843	21.99485	0.16045
420352	0.38887	22.11805	0.14095
420414	0.29245	21.4687	0.1649
430003	0.32841	21.6655	0.17245
440005	0.30549	21.6995	0.13305
440050	0.28546	21.46645	0.1395
440236	0.42886	22.4792	0.1471
440285	0.17967	20.481	0.1699
440643	0.18959	20.50025	0.1605
450082	0.24849	21.19025	0.14705
450339	0.40927	22.48095	0.19045
460064	0.24146	20.85675	0.13015
470015	0.33748	21.8791	0.16625
470043	0.0706	18.48435	0.29975
470110	0.34546	21.9593	0.1626
480184	0.3306	21.98705	0.15615
490007	0.05495	17.60185	0.1165
490037	0.42359	22.37855	0.1425
500038	0.1072	19.19495	0.1111
500065	0.2854	21.2265	0.12315
500301	0.32553	21.91925	0.1384
500511	0.33493	21.74575	0.1129
510113	0.2909	21.30595	0.15955
510266	0.44058	22.4238	0.13695
510550	0.24111	21.09055	0.1118
510597	0.46101	22.75035	0.16435
520022	0.11944	19.33475	0.1245
520041	0.54539	23.34415	0.1462
520071	0.41155	22.6089	0.1289
530037	0.26848	21.34225	0.14435
530086	0.04976	17.35275	0.13525
530251	0.41131	22.5817	0.15385
550005	0.07369	18.2355	0.1566
550059	0.31841	22.0816	0.21085
550137	0.4193	22.16135	0.152
550202	0.42028	22.49015	0.2331
560027	0.43885	22.46285	0.19185
560054	0.4804	22.68865	0.17225
560150	0.1998	20.66375	0.13595
570022	0.30143	21.81235	0.1445
570056	0.2902	21.4412	0.13835
580104	0.3092	21.58775	0.1462
580270	0.2956	21.7291	0.123
580276	0.33848	21.88335	0.13905
590031	0.3786	22.21555	0.1463
590194	0.0896	18.72405	0.11685
520016	0.4507	22.6586	0.15475
380199	0.4604	22.8011	0.14725
vespesian	1.206	25.73935	0.3352
washington	1.33	25.6034	0.1484
carter	1.54	25.9072	0.21065
Primo	1.55	26.00705	0.18565
geta	1.7	26.0592	0.2832
stone	1.8	26.2011	0.18795
colfax	2.26	26.877	0.2548
wilson	1.914	26.1609	0.2559
Aphrodite	1.3	25.52015	0.17875
Borg	1.34	25.4652	0.1632
Eagle	1.02	24.88235	0.1657
Frodo	0.735	23.70605	0.134
Gabi	1.12	25.0639	0.1649
Koekemoer	1.23	25.28615	0.19155
Lancaster	1.23	25.4985	0.17085
Manipogo	0.854	24.3128	0.21455
Mcguire	1.37	25.5159	0.1622
Ombo	0.9752	24.7061	0.13985
Patuxent	0.97	25.11545	0.26175
Rakke	0.74	23.8446	0.12605
Sasquatch	1.39	25.36305	0.20125
Thoth	1.305	25.2642	0.235
Vilas	0.935	24.2666	0.1658
SCP05D0	1.014	24.85445	0.2291
SCP05D6	1.315	25.54235	0.1987
SCP06C0	1.092	24.63835	0.26405
